id
Aaron F. Bobick
Aaron Hertzmann
Achim Kraiss
Ada Wai-Chee Fu
Adalbert F. X. Wilhelm
Adam Bosworth
Adam L. Berger
Adam W. Hoover
Adele H. Marshall
Adil Faisal
Adrian G. Bors
Adrian Hilton
Adrian Silvescu
Agapios N. Platis
Ahmed K. Elmagarmid
Akihiro Inokuchi
Alan Bundy
Alan Fern
Alan L. Yuille
Alan S. Willsky
Alan Skelley
Alberto Corni
Alberto Finzi
Alberto Giretti
Alberto O. Mendelzon
Alberto Paccanaro
Alejandro A. Vaisman
Aleksandar Lazarevic
Alessandro Cucchiarelli
Alessandro Saffiotti
Alessandro Sperduti
Alex Alves Freitas
Alexander C. Berg
Alexander Hinneburg
Alexander J. Smola
Alexander Maedche
Alexander S. Szalay
Alexander Vaschillo
Alexandros Biliris
Alexandros Kalousis
Alexandros Labrinidis
Alexey Tsymbal
Alfred Inselberg
Ali Can
Ali Rahimi
Alicja Wieczorkowska
Alin Deutsch
Allison L. Powell
Alok Gupta
Alon Y. Levy
Amanda Clare
Amanda Spink
Amar Gupta
Amedeo Cesta
Amir Netz
Amit Adam
Amit Shukla
Amit Singhal 0001
Amit Somani
Amnon Shashua
Amr El Abbadi
Amy C. Larson
Anand Deshpande
Anand Sivasubramaniam
Anastasios Manessis
Andrea Sboner
Andreas Boehmer
Andreas Herzig
Andreas Hotho
Andreas Karwath
Andreas Rauber
Andreas Tuerk
Andrew Blake 0001
Andrew C. Jones
Andrew G. Barto
Andrew Lim 0001
Andrew Lippman
Andrew McCallum
Andrew Philpot
Andrew Tomkins
Andrew Turpin
Andrew W. Crapo
Andrew W. Moore 0001
Andrew Y. Ng
Andrey Balmin
Andries Kruger
Andrzej Cichocki
Andrzej Skowron
Andy Tsai
Ang Juay Chin
Angelo Oddi
Ani Thakar
Anjali Dhond
Ann B. Lee
Anne Rogers
Anni Coden
Antal van den Bosch
Anthony G. Cohn
Anthony Hunter
Anthony J. Yezzi
Anthony K. H. Tung
Antonio Ciampi
Antonio Corral
Antonio Haro
Antony Francis Bowers
Arie Shoshani
Arif Tumer
Aristides Gionis
Arnaud Sahuguet
Arno J. Knobbe
Arno Siebes
Arnold W. M. Smeulders
Arnon Amir
Arnon Rosenthal
Artur Bykowski
Arturo Crespo
Artyom Shaposhnikov
Arvind Rajendran
Asaf Adi
Ashraf Aboulnaga
Ashutosh Garg
Assaf Zomet
Astro Teller
Asuman Dogac
Attilio Giordana
Atul Adya
Austin Tate
Avi Pfeffer
Ayhan Demiriz
Bahram Parvin
Barbara Liskov
Barbara M. Smith
Barry Smyth
Bart Baesens
Bart De Moor
Bart Goethals
Bart Kuijpers
Bart Selman
Behzad Mortazavi-Asl
Ben Kao
Benedicte Bascle
Benjamin B. Kimia
Benjamin Bin Yao
Benjamin Chan
Benjamin Korvemaker
Benjamin Van Roy
Benjamin W. Wah
Bennet Vance
Bernhard Braunmüller
Bernhard Geiger
Bernhard Pfahringer
Bernhard Schölkopf
Bernhard Seeger
Berthold Reinwald
Bertram Ludäscher
Bertrand Thirion
Bettina Kemme
Betty Salzberg
Beverly Park Woolf
Bharat Kumar
Bill Sudyka
Bin Lan
Bin Zhang 0004
Bing Liu 0001
Bing Xu
Binyamin Rosenfeld
Bo Xu 0001
Bo Zhou
Bogdan Matei
Boi Faltings
Boris Chidlovskii
Bradley S. Peterson
Brandon Bennett
Brendan J. Frey
Brendan Kitts
Brian Amento
Brian Blanchard
Brian F. White
Brian Mirtich
Brian P. Gerkey
Brock Barber
Bruce A. Draper
Bruce A. Shapiro
Bruce Blumberg
Bruce G. Lindsay 0001
Bryan Singer
Bryan W. Scotney
Caetano Traina Jr.
Cara Meverden
Carla E. Brodley
Carla P. Gomes
Carlo Tomasi
Carlos Alonso González
Carlos Barron
Carlos Domingo
Carlos Ordonez 0001
Carlos Phillips
Carlos Soares
Carlotta Domeniconi
Carole R. Beal
Cathy H. Wu
Catriel Beeri
Cen Li
Cenk Kaynak
Chad Carson
Chandra Kambhamettu
Charles E. Thorpe
Charles K. Nicholas
Charles L. Viles
Charles Lee Isbell Jr.
Charles V. Stewart
Charles W. Anderson
Charles Wiecha
Charu C. Aggarwal
Chen (Cherie) Ding
Chen Li 0001
Cheng Yang
ChengXiang Zhai
Cheryl E. Martin
Chi-Hung Chi
Chi-Yuen Ng
Ching Kian Wong
Chitra Dorai
Chong Leng Goh
Chris Buckley
Chris Drummond
Chris Olston
Christel Vrain
Christian Barillot
Christian Böhm
Christian Fiegel
Christian Lebiere
Christian S. Jensen
Christian W. Omlin
Christoph Bregler
Christoph Quix
Christophe Bobineau
Christophe Druet
Christophe G. Giraud-Carrier
Christophe Rigotti
Christophe Vestri
Christopher A. Welty
Christopher H. Brooks
Christopher H. Bryant
Christopher K. I. Williams
Christopher L. Johnson
Christopher Meek
Christopher R. Palmer
Christos Faloutsos
Christos H. Papadimitriou
Christos Papatheodorou
Chuck Freiwald
Chun Hing Cai
Chung-Min Chen
Chung-Sheng Li
Cindy Yoshiko Shirata
Clark F. Olson
Claudio Eccher
Claudio Petrone
Claus B. Madsen
Colin Campbell
Colin de la Higuera
Constantine D. Spyropoulos
Constantine Domashnev
Cordelia Schmid
Corinna Cortes
Craig A. Knoblock
Craig A. Tovey
Craig Boutilier
Cristian Levcovici
Cui Yu
Curtis E. Dyreson
Cynthia Roberts
Cyrus Shahabi
Cécile Paris
Céline Robardet
César A. Galindo-Legaria
Dale Kraemer
Damien Ernst
Dan A. Simovici
Dan DiPasquo
Dan Olteanu
Dan Pelleg
Dan Roth
Dan Suciu
Dana Cristofor
Dani Goldberg
Daniel A. Keim
Daniel Barbará
Daniel Boley
Daniel Borrajo
Daniel C. Zilio
Daniel D. Morris
Daniel F. Lieuwen
Daniel Freedman
Daniel Marcu
Daniel Oblinger
Daniel Olson
Daniel P. Huttenlocher
Daniel S. Weld
Daniela Florescu
Daniela Pucci de Farias
Daniela Rus
Daphna Weinshall
Daphne Koller
Dara Koozekanani
Darya Chudova
Daryl Pregibon
David A. Basin
David A. Evans 0001
David A. Grossman
David A. Maluf
David A. McAllester
David A. Peterson
David Anderson 0002
David Apfelbaum
David B. Lomet
David Billington
David Botzer
David Buttler
David C. Han
David C. Parkes
David Cohn
David D. Jensen
David D. Lewis
David Freed
David Furcy
David Heckerman
David J. DeWitt
David J. Fleet
David J. Harper
David J. Heeger
David M. Pennock
David Maier 0001
David McG. Squire
David McGee
David McKoskey
David Mumford
David Nagle
David P. Kormann
David Page
David Poole 0001
David Pye
David Ratajczak
David Sinclair
David W. Jacobs
David Wai-Lok Cheung
Dawn J. Lawrie
Dawn M. Tice
Dean F. Hougen
Deborah L. McGuinness
Deborah R. Carvalho
Dee Jay Randall
Dennis E. Shasha
Dennis Koelma
Diane J. Cook
Diane J. Litman
Diane Lambert
Didier Robert
Diego Calvanese
Dieter Fox
Dieter Merkl
Dieter Pfoser
Dimitrios Georgakopoulos
Dimitrios Gunopulos
Dimitris Achlioptas
Dimitris N. Metaxas
Dimitris Plexousakis
Dimitris Samaras
Dinesh Keshwani
Dirk Van den Poel
Djamel A. Zighed
Djamila Sam-Haroud
Dmitry B. Goldgof
Dmitry Pavlov
Dmitry Vasilevsky
Dmitry Zelenko
Doina Caragea
Doina Precup
Domenico Beneventano
Dominic Létourneau
Dominique Béréziat
Dominique Longin
Dominique M. Hanssens
Donald Baker
Donald Kossmann
Donald R. Slutz
Donko Donjerkovic
Dorian Suc
Dorin Comaniciu
Dorin Marcu
Doug Beeferman
Douglas A. Talbert
Douglas H. Fisher
Douglas Stott Parker Jr.
Douglas W. Oard
Dragan Gamberger
Dragomir Anguelov
Dragomir R. Radev
Dragutin Petkovic
Dror Weitz
Dulce B. Ponceleon
Dung N. Lam
Dunja Mladenic
Eamonn J. Keogh
Edith Cohen
Edmond Boyer
Edmund Freeman
Edmund H. Durfee
Edna Grossman
Edward Hung
Edward L. Robertson
Edward L. Wimmers
Edward Sciore
Edward Y. Chang
Edwin R. Hancock
Efstathios Hadjidemetriou
Ehud Rivlin
Einat Amitay
Eitan Sharon
Eli Upfal
Elisa Bertino
Elizabeth McKenna
Elke A. Rundensteiner
Ellen M. Voorhees
Elly Winner
Elvira Schaefer
Emily Anderson
Enrico Blanzieri
Enrico Franconi
Enrico Giunchiglia
Enrico Nardelli
Eraldo Ribeiro
Erhard Rahm
Eric Chown
Eric Horvitz
Eric J. Glover
Eric N. Mortensen
Eric Simon
Eric W. Brown 0001
Erik F. Tjong Kim Sang
Erik G. Miller
Erik Riedel
Erik S. Steinmetz
Erin J. Bredensteiner
Erin L. Allwein
Ernesto Damiani
Esma Aïmeur
Ethem Alpaydin
Etienne G. Huot
Eugene Inseok Chong
Eugene J. Shekita
Ewa Jaslikowska
Fabien Feschet
Fabrice Guillet
Fabrice Rossi
Fabrizio Angiulli
Fabrizio Sebastiani 0001
Fan Jiang
Fanny Wattez
Farhad Hussain
Fei Chen
Fei Sha
Feng Tian
Feng Zhao 0001
Fernando C. N. Pereira
Finn Årup Nielsen
Fiora Pirri
Flip Korn
Florent Masseglia
Florian Waas
Florian Xhumari
Floriana Esposito
Florin Ciucu
Floris Geerts
Fosca Giannotti
Francesco Caruso
Franck Thollard
Frank A. Bisby
Frank Dellaert
Frank Neven
Frank Ramsak
Frans Coetzee
François Bélanger
François Llirbat
François Michaud
François Rivest
Françoise Fabret
Frederic Devernay
Frédéric Moal
Frédérick Vautrain
Fumiyo Fukumoto
Gabriel J. Ferrer
Gabriela Mußler
Gail Lalk
Gang Liu
Gang Zhou
Gareth Funka-Lea
Gareth J. F. Jones
Gary R. Bradski
Gary Valentin
Gary William Flake
Gautam Biswas
Gautam Das 0001
Gavin Michael
Gayatri Sathe
Ge Cong
Geert Wets
Geoff A. W. West
Geoff Hulten
Geoffrey E. Hinton
Geoffrey Egnal
Geoffrey J. Gordon
Georg Lausen
George A. Vouros
George Forman
George Kollios
George Lapis
Georges Gardarin
Georgios Paliouras
Georgios Petasis
Gerald E. Schneider
Gerald Tesauro
Gerd Stumme
Gerhard Lakemeyer
Gerhard Paass
Gerhard Weikum
German K. M. Cheung
German Shegalov
Gheorghe Muresan
Gheorghe Tecuci
Giedrius Slivinskas
Gilbert Ritschard
Gilbert Swinnen
Gilles Nachouki
Giovanni B. Marchisio
Giovanni Giuffrida
Giovanni Semeraro
Giuseppe De Giacomo
Giuseppe Manco 0001
Glenn S. Wasson
Gottfried Vossen
Graham J. Williams
Greg Barish
Greg Schohn
Gregory Dudek
Gregory R. Ganger
Gregory Z. Grudic
Guido Dedene
Guido Governatori
Gunnar Rätsch
Gustavo Alonso
Guy Ferran
Guy M. Lohman
Guy Pardon
Gérard G. Medioni
Hai Tao
Hajime Kimura
Hakan Ferhatosmanoglu
Hamid Pirahesh
Hannah Blau
Hans Schuster
Hans Tompits
Hao Chen 0003
Harald Reiterer
Harald Schöning
Harpreet S. Sawhney
Hartmut Liefke
Haruhiko Kojima
Hasan Davulcu
Heather Holmback
Hector Garcia-Molina
Hector J. Levesque
Hector Urroz
Heike Hofmann
Heikki Mannila
Heinrich Niemann
Heinrich Spiecker
Helena Galhardas
Hemant D. Tagare
Hendrik Blockeel
Henning Biermann
Henning Müller
Henri Briand
Henrik Boström
Henrik Grosskreutz
Henrique Paques
Henry A. Kautz
Henry Schneiderman
Henry Tirri
Hidenori Okamoto
Hideo Joho
Hieu Tat Nguyen
Hiroaki Kitano
Hiroaki Ueda
Hirofumi Matsuzawa
Hiroki Arimura
Hiroshi G. Okuno
Hiroshi Kawasaki
Hiroshi Mamitsuka
Hiroshi Motoda
Hiroshi Shimodaira
Hoa Trang Dang
Holger H. Hoos
Holger Märtens
Hong Su
Horst W. Haussecker
Howard J. Hamilton
Howard L. Tanenbaum
Hua Zhu
Hua-Gang Li
Huan Chang
Huan Liu 0001
Huan Wang
Hubert Jin
Hui Luo
Hung Hai Bui
Hussein M. Yahia
Håkan L. S. Younes
Iain Sutherland
Ian D. Reid 0001
Ian Frank
Ian Horrocks
Ian Soboroff
Ibrahim Kamel
Igor Tatarinov
Igor V. Cadez
Ilan Shimshoni
Ioana Manolescu
Ioannis A. Kakadiaris
Ioannis Stamos
Ion Androutsopoulos
Ion Muslea
Irene Langkilde
Irfan A. Essa
Irina Rish
Isaac Cohen
Isabelle Herlin
Isamu Shioya
Ivan Bratko
Ivo Marinchev
Iván Ordóñez
Iztok Savnik
Jaana Kekäläinen
Jacquelyn Martino
Jacques Philippe
Jade Goldstein
Jaime G. Carbonell
Jake D. Brutlag
Jakub Zavrel
James A. Bednar
James A. Hendler
James Allan
James C. French
James Chen
James Davis 0001
James J. Little
James M. Coughlan
James M. Rehg
James N. K. Liu
James P. Callan
James P. Delgrande
James P. Gunderson
James R. Slagle
James Rice
James S. Duncan
James W. Davis
James Ying
Jan Vahrenhold
Jan Vanthienen
Janet L. Wiener
Janez Demsar
Jason I. Hong
Jason Tsong-Li Wang
Javed A. Aslam
Jean Hou
Jean-Paul Watson
Jeanine Weißenfels
Jeff Bernhardt
Jeff Dalton 0002
Jeff Erickson 0001
Jeff Heflin
Jefferson A. Coelho Jr.
Jeffrey D. Ullman
Jeffrey F. Cohn
Jeffrey F. Naughton
Jeffrey McCandless
Jeffrey O. Kephart
Jeffrey Scott Vitter
Jeffrey Xu Yu
Jennifer G. Dy
Jennifer Widom
Jens Lechtenbörger
Jeremy D. Glasner
Jeremy H. Wright
Jeremy R. Cooperstock
Jerry Kiernan
Jesse Hoey
Jessica Jenkins
Jesus A. Gonzalez
Jette Randløv
Ji Jin
Jian Pei
Jim Gray 0001
Jim Smith
Jing Cao
Jing Peng
Jing Su
Jiong Yang
Joachim Hammer
Joann J. Ordille
Joaquim Pinto da Costa
Jochen Hipp
Jochen Van den Bercken
Joe Carthy
Joe Marks
Johan A. K. Suykens
Johannes Gehrke
John A. Thompson
John B. Hampshire II
John E. Laird
John F. Roddick
John Koutsias
John Krumm
John Langford 0001
John Levine
John M. McGann
John M. Prager
John Milanski
John Oliensis
John R. Anderson
John R. Kender
John R. Smith
John S. Robinson
John Shawe-Taylor
John W. Lloyd
John Zimmerman
Jon M. Kleinberg
Jon Ragetli
Jonathan Alon
Jonathan Audet
Jonathan Baxter
Jonathan D. Becher
Jonathan Deutscher
Jonathan Gratch
Jonathan Stoppi
Jordi Vitrià
Joseph Beck
Joseph Bockhorst
Joseph Daniel Pehoushek
Joseph JáJá
Joseph L. Hellerstein
Joseph M. Hellerstein
Joseph O'Sullivan
Joseph Shamir
José A. Blakeley
José C. Pinheiro
José M. Peña 0002
João L. M. Pereira
Juan J. Rodríguez Diez
Juan José Villanueva
Jude W. Shavlik
Juho Rousu
Julia Hirschberg
Julian Orbach
Juliana Freire
Julie MacNaught
Jun Morimoto
Jun Rao
Jun Sese
Jun Yang 0001
Jun Yuan
Jung-Hwan Oh
Jussi Lahtinen
Justus H. Piater
Jérémy Clech
Jérôme Lang
Jérôme Siméon
Jérôme Thoméré
Jörg Conradt
Jörg Kindermann
Jörg Köller
Jörg Sander 0001
Jörn Kohlhammer
Jürgen Angele
Jürgen Forster
Jürgen Wäsch
Kajal T. Claypool
Kalervo Järvelin
Kamal Nigam
Kan Hu
Karen C. Davis
Karen Sparck Jones
Kari Torkkola
Karin Kipper
Karine Zeitouni
Kary L. Myers
Kate Larson
Kathleen Fisher
Kathleen Hornsby
Kathy Ryall
Katia P. Sycara
Katsushi Ikeuchi
Katya Pelekhov
Kaushal Kurapati
Kaushik Chakrabarti
Kazuhiro Nakadai
Kazuhiro Otsuka
Kazumi Saito
Kazunori Matsumoto
Kazuo Hashimoto
Kazuyuki Murase
Ke Wang
Ke Wang 0001
Keiichiro Hoashi
Keiji Oenoki
Keisuke Kinoshita
Keith B. Hall
Ken Satoh
Kenichi Takahashi
Kenji Doya
Kenji Yamada
Kenji Yamanishi
Kenneth A. Kaufman
Kenneth A. Ross
Kenneth D. Forbus
Kenneth R. Wood
Kenneth Salem
Kevin Chen-Chuan Chang
Kevin Knight
Kevin Leyton-Brown
Kevin S. Beyer
Khaled Yagoub
Kien A. Hua
Kim L. Boyer
Kim Shearer
Kinh Tieu
Kiran Prabhakara
Klaus Elhardt
Klaus R. Dittrich
Klemens Böhm
Koen Vanhoof
Koji Miyajima
Konstantinos Chandrinos
Kostas Stergiou 0001
Kris Hildrum
Kristin P. Bennett
Kristina Lerman
Krzysztof Koperski
Lalit Garg
Lance A. Forbes
Larry H. Matthies
Larry M. Manevitz
Larry S. Davis
Lars Arge
Laura Barbulescu
Laura Bright
Laura M. Haas
Laurent Némirovski
Laurent Yeh
Laurent Younes
Laurentiu Cristofor
Laurie B. Waisel
Lawrence B. Holder
Lawrence Buckingham
Lawrence D. Bergman
Lawrence H. Staib
Leah S. Larkey
Lee D. Coraor
Leonardo Tininini
Leonid Libkin
Leonid Sigal
Leonid V. Tsap
Leonidas Fegaras
Leslie Pack Kaelbling
Li Chen 0016
Lian Wang
Liana M. Lorigo
Lin Padgham
Lin Zhou
Ling Liu 0001
Lisbeth Duncan
Liu Wang
Long Quan
Longin Jan Latecki
Loren G. Terveen
Lorenza Saitta
Lotfi Lakhal
Louis Wehenkel
Luc Bouganim
Luc Dehaspe
Luc Segoufin
Luca Forlizzi
Luca Spalazzi
Lucian Popa 0001
Luigi Palopoli
Luis E. Ortiz
Luis Gravano
Luis M. de Campos
Luis Pérez-Breva
Luke Hunsberger
Luke S. Zettlemoyer
Luke Tucker
Luís Torgo
Lyle H. Ungar
Léon J. M. Rothkrantz
Maarten de Rijke
Mads Noergaard
Maguelonne Teisseire
Mahesh Jagannath
Mahesh Saptharishi
Maja J. Mataric
Maja Pantic
Makoto Yokoo
Maksim Tsvetovat
Malcolm R. K. Ryan
Malik Yousef
Manfred Glesner
Manfred K. Warmuth
Manoranjan Dash
Manu Sridharan
Manuel Barrena García
Manuel Rodríguez-Martínez
Manuela M. Veloso
Marc Friedman
Marc Pucci
Marc Sebban
Marcel Schoppers
Marcel Worring
Marco Botta
Marco Carcassoni
Marco Gori
Marco Magnante
Marco Mesiti
Marco Patella
Marco Pecorone
Marco Pötke
Marco Ramoni
Marcus J. Huber
Marek Rusinkiewicz
Margaret E. Connell
Maria Halkidi
Maria L. Gini
Marilyn A. Walker
Mario Alberto López
Mark A. Musen
Mark A. Ruzon
Mark B. Skouson
Mark D. Reid
Mark E. Stickel
Mark H. Montague
Mark Holler
Mark Moors
Mark Sanderson
Mark W. Craven
Mark W. Maimone
Mark W. Newman
Mark W. Powell
Marko Bohanec
Marko Grobelnik
Markos Zaharioudakis
Markus M. Breunig
Markus Schneider 0001
Markus Weber
Marsha C. Lovett
Martha Stone Palmer
Martin A. Riedmiller
Martin Ester
Martin Gavrilov
Martin Grohe
Martin L. Kersten
Martin Lauer
Martin Schneider 0006
Martin Van Velsen
Martin Vrieze
Martin Zirkel
Mary Shapcott
Maryann E. Martone
Masao Sakauchi
Masatoshi Yoshikawa
Masayuki Numao
Massimiliano Pontil
Massimo Paolucci 0001
Massimo Zancanaro
Mathias Broxvall
Mathieu Vézeau
Matthew Carey
Matthew D. Mullin
Matthew D. Schmill
Matthew E. Antone
Matthew Miller
Matthias Jarke
Matthias Mitschke
Matthias Rychetsky
Matthias Schonlau
Matthias W. Seeger
Mauricio A. Hernández
Maurizio Lenzerini
Maurizio Panti
Maurizio Vincini
Max Welling
Maxim Peysakhov
Maxime Lhuillier
Mayumi Oyama
Megan Thomas
Mehmet Altinel
Mehmet M. Dalkilic
Mei Han
Melanie Hilario
Michael Benedikt
Michael Bowman
Michael Collins 0001
Michael D. Grossberg
Michael E. Houle
Michael E. Leventon
Michael Erdmann
Michael Fuller
Michael Gillmann
Michael Greiffenhagen
Michael H. Chu
Michael H. Loser
Michael Harville
Michael Holder
Michael J. Carey 0001
Michael J. Donahoo
Michael J. Franklin
Michael J. Kearns
Michael J. Maher
Michael J. Pazzani
Michael Kifer
Michael L. Littman
Michael Lindenbaum
Michael Mateas
Michael P. Wellman
Michael S. Brandstein
Michael S. Lew
Michael Stonebraker
Michael T. Orchard
Michael T. Rosenstein
Michael Vassilakopoulos
Michael Werman
Michael Zuliani
Michael van Lent
Michail G. Lagoudakis
Michal Irani
Michalis Vazirgiannis
Michelangelo Diligenti
Michele Covell
Michele Melchiori
Michelle Sollenberger
Michèle Sebag
Mihael Ankerst
Mihai Boicu
Mikhail J. Atallah
Mikhail Soutchanski
Min Wang 0001
Ming Ye
Mirko Appel
Mohammed Yeasin
Mohana Krishna Lakhamraju
Monica N. Nicolescu
