userID,gender,age,occupation,varying
3347,F,35-44,executive/managerial,4.4
3348,M,45-49,self-employed,4.0
3349,F,18-24,college/grad student,3.7
3350,F,18-24,other,4.3
3351,F,18-24,customer service,4.0
3352,M,35-44,other,3.5
3353,M,35-44,technician/engineer,4.4
3354,M,25-34,executive/managerial,2.9
3355,M,25-34,academic/educator,4.0
3356,M,35-44,executive/managerial,4.4
3357,M,25-34,tradesman/craftsman,4.1
3358,F,25-34,academic/educator,3.8
3359,M,25-34,writer,3.4
3360,F,25-34,other,3.5
3361,M,25-34,college/grad student,3.8
3362,F,25-34,other,3.6
3363,F,35-44,homemaker,4.0
3364,M,56+,retired,3.7
3365,M,50-55,technician/engineer,4.2
3366,M,35-44,sales/marketing,3.4
3367,M,50-55,self-employed,4.3
3368,M,25-34,sales/marketing,4.5
3369,M,45-49,tradesman/craftsman,3.9
3370,M,18-24,college/grad student,3.4
3371,M,25-34,artist,3.5
3372,M,56+,retired,4.3
3373,M,18-24,self-employed,3.5
3374,M,35-44,customer service,3.9
3375,M,25-34,college/grad student,3.7
3376,M,35-44,self-employed,3.4
3377,M,25-34,technician/engineer,4.0
3378,M,18-24,college/grad student,3.8
3379,M,35-44,academic/educator,3.7
3380,M,50-55,other,3.8
3381,M,25-34,other,3.5
3382,F,Under 18,K-12 student,3.4
3383,M,56+,self-employed,3.6
3384,M,35-44,executive/managerial,3.6
3385,F,25-34,homemaker,3.3
3386,M,18-24,college/grad student,3.7
3387,M,18-24,academic/educator,3.2
3388,F,25-34,academic/educator,3.7
3389,M,18-24,other,2.8
3390,F,45-49,writer,4.2
3391,M,18-24,college/grad student,3.9
3392,M,50-55,doctor/health care,3.8
3393,M,35-44,programmer,3.5
3394,M,35-44,executive/managerial,3.9
3395,M,25-34,executive/managerial,3.7
3396,M,25-34,programmer,3.8
3397,M,25-34,customer service,4.1
3398,M,18-24,writer,3.6
3399,M,25-34,college/grad student,3.5
3400,M,25-34,sales/marketing,4.0
3401,M,35-44,executive/managerial,3.3
3402,M,35-44,writer,3.8
3403,M,35-44,customer service,4.1
3404,M,25-34,farmer,3.8
3405,M,35-44,sales/marketing,4.2
3406,F,25-34,executive/managerial,4.0
3407,F,45-49,customer service,3.5
3408,M,25-34,technician/engineer,3.8
3409,M,25-34,college/grad student,4.2
3410,M,35-44,academic/educator,3.3
3411,M,18-24,college/grad student,2.7
3412,M,25-34,tradesman/craftsman,3.5
3413,F,25-34,technician/engineer,4.0
3414,M,25-34,technician/engineer,4.1
3415,M,35-44,executive/managerial,4.0
3416,M,25-34,programmer,3.6
3417,F,18-24,artist,3.9
3418,F,18-24,clerical/admin,3.8
3419,M,45-49,academic/educator,4.0
3420,F,25-34,executive/managerial,4.0
3421,M,45-49,executive/managerial,4.3
3422,M,25-34,customer service,2.7
3423,M,25-34,executive/managerial,3.9
3424,M,25-34,doctor/health care,4.2
3425,M,18-24,writer,3.5
3426,M,25-34,writer,4.0
3427,M,25-34,sales/marketing,3.8
3428,M,45-49,academic/educator,4.2
3429,F,25-34,executive/managerial,3.6
3430,F,45-49,academic/educator,3.4
3431,F,45-49,doctor/health care,3.8
3432,M,25-34,programmer,3.3
3433,M,18-24,programmer,3.1
3434,M,18-24,college/grad student,3.6
3435,M,45-49,academic/educator,3.9
3436,M,35-44,other,3.9
3437,F,25-34,other,4.5
3438,F,25-34,other,3.6
3439,M,18-24,technician/engineer,4.1
3440,M,56+,technician/engineer,4.3
3441,F,25-34,sales/marketing,2.9
3442,M,18-24,programmer,3.4
3443,F,35-44,technician/engineer,3.9
3444,M,50-55,sales/marketing,3.1
3445,F,35-44,writer,3.9
3446,M,25-34,executive/managerial,4.5
3447,M,25-34,programmer,3.9
3448,F,18-24,clerical/admin,3.6
3449,M,25-34,sales/marketing,4.2
3450,M,25-34,customer service,3.6
3451,F,25-34,lawyer,3.9
3452,M,25-34,sales/marketing,4.4
3453,M,35-44,executive/managerial,3.5
3454,M,18-24,other,3.4
3455,F,25-34,other,4.0
3456,M,25-34,technician/engineer,4.4
3457,M,25-34,writer,3.5
3458,M,45-49,other,4.0
3459,M,18-24,college/grad student,4.2
3460,M,Under 18,college/grad student,4.2
3461,M,35-44,other,4.7
3462,F,25-34,college/grad student,3.7
3463,M,25-34,scientist,3.9
3464,F,25-34,sales/marketing,3.7
3465,M,25-34,sales/marketing,3.8
3466,M,25-34,sales/marketing,4.2
3467,M,25-34,sales/marketing,4.1
3468,M,25-34,writer,4.0
3469,M,45-49,technician/engineer,3.9
3470,M,35-44,technician/engineer,3.7
3471,M,18-24,college/grad student,3.2
3472,M,25-34,doctor/health care,4.0
3473,F,35-44,self-employed,4.0
3474,M,35-44,lawyer,4.4
3475,M,25-34,sales/marketing,4.4
3476,M,50-55,other,3.2
3477,F,50-55,academic/educator,4.0
3478,M,25-34,executive/managerial,3.4
3479,M,18-24,college/grad student,3.6
3480,M,25-34,other,3.8
3481,M,18-24,college/grad student,4.2
3482,M,50-55,technician/engineer,3.8
3483,F,45-49,executive/managerial,3.9
3484,M,18-24,college/grad student,3.0
3485,M,25-34,other,4.2
3486,F,18-24,other,4.1
3487,M,18-24,college/grad student,3.5
3488,M,45-49,technician/engineer,2.8
3489,M,18-24,college/grad student,2.9
3490,M,25-34,other,3.9
3491,M,25-34,self-employed,3.8
3492,M,35-44,executive/managerial,3.8
3493,M,25-34,technician/engineer,3.6
3494,M,25-34,academic/educator,3.6
3495,M,18-24,college/grad student,3.1
3496,M,35-44,customer service,3.8
3497,F,35-44,artist,4.2
3498,M,25-34,technician/engineer,3.8
3499,M,25-34,clerical/admin,3.5
3500,M,35-44,executive/managerial,3.7
3501,F,35-44,executive/managerial,4.2
3502,F,18-24,executive/managerial,4.4
3503,M,18-24,college/grad student,4.1
3504,M,18-24,executive/managerial,3.5
3505,F,25-34,scientist,3.6
3506,M,18-24,programmer,4.3
3507,M,25-34,other,3.3
3508,M,18-24,college/grad student,3.7
3509,M,18-24,college/grad student,2.9
3510,F,18-24,college/grad student,3.7
3511,M,50-55,other,3.9
3512,M,18-24,technician/engineer,3.5
3513,M,25-34,self-employed,3.4
3514,M,18-24,programmer,4.0
3515,M,35-44,clerical/admin,3.9
3516,M,18-24,college/grad student,3.4
3517,M,18-24,programmer,3.9
3518,F,18-24,executive/managerial,4.0
3519,F,25-34,sales/marketing,3.3
3520,M,25-34,other,4.1
3521,M,25-34,other,3.8
3522,M,18-24,other,4.0
3523,M,35-44,executive/managerial,3.8
3524,F,25-34,other,3.9
3525,F,18-24,college/grad student,3.5
3526,M,35-44,artist,2.8
3527,M,25-34,other,3.6
3528,M,35-44,customer service,2.6
3529,F,45-49,academic/educator,3.0
3530,M,25-34,other,3.8
3531,F,25-34,lawyer,4.2
3532,F,35-44,sales/marketing,4.2
3533,M,25-34,artist,3.6
3534,M,35-44,technician/engineer,4.1
3535,M,45-49,tradesman/craftsman,4.0
3536,M,18-24,college/grad student,3.8
3537,M,Under 18,K-12 student,2.5
3538,M,35-44,other,3.8
3539,F,25-34,college/grad student,4.0
3540,M,18-24,technician/engineer,4.3
3541,M,25-34,clerical/admin,4.2
3542,M,25-34,scientist,3.2
3543,M,25-34,technician/engineer,3.6
3544,F,25-34,college/grad student,4.3
3545,M,35-44,programmer,3.4
3546,M,25-34,writer,3.4
3547,M,35-44,self-employed,3.6
3548,M,45-49,executive/managerial,2.5
3549,F,35-44,executive/managerial,3.9
3550,M,25-34,customer service,3.5
3551,F,56+,other,3.9
