userID,gender,age,occupation,varying
4447,M,45-49,customer service,3.3
4448,M,25-34,sales/marketing,4.1
4449,M,25-34,programmer,4.1
4450,M,25-34,scientist,2.8
4451,M,25-34,sales/marketing,2.8
4452,F,25-34,executive/managerial,4.1
4453,M,35-44,other,3.2
4454,M,25-34,writer,2.9
4455,M,35-44,executive/managerial,3.7
4456,F,35-44,artist,4.0
4457,M,35-44,sales/marketing,4.3
4458,F,25-34,college/grad student,3.2
4459,M,25-34,academic/educator,3.7
4460,M,25-34,sales/marketing,3.4
4461,M,25-34,writer,4.4
4462,F,25-34,other,3.2
4463,M,50-55,executive/managerial,3.5
4464,F,50-55,academic/educator,3.4
4465,M,18-24,college/grad student,3.7
4466,M,35-44,lawyer,3.8
4467,F,50-55,doctor/health care,2.2
4468,F,35-44,executive/managerial,4.1
4469,F,45-49,programmer,4.0
4470,M,35-44,programmer,4.1
4471,M,25-34,doctor/health care,3.9
4472,F,45-49,self-employed,3.4
4473,M,35-44,academic/educator,3.4
4474,M,35-44,executive/managerial,4.1
4475,M,18-24,college/grad student,3.9
4476,M,45-49,academic/educator,3.6
4477,M,25-34,executive/managerial,3.2
4478,M,Under 18,programmer,3.7
4479,M,50-55,retired,3.3
4480,M,25-34,other,3.2
4481,M,25-34,tradesman/craftsman,3.3
4482,F,35-44,academic/educator,3.7
4483,F,25-34,doctor/health care,3.2
4484,F,25-34,technician/engineer,4.1
4485,M,25-34,college/grad student,3.3
4486,M,35-44,farmer,1.1
4487,M,25-34,executive/managerial,3.6
4488,M,35-44,executive/managerial,2.8
4489,M,18-24,college/grad student,3.8
4490,M,35-44,customer service,3.5
4491,M,18-24,college/grad student,3.8
4492,M,56+,retired,3.9
4493,F,Under 18,K-12 student,2.3
4494,M,45-49,other,4.2
4495,M,18-24,college/grad student,4.4
4496,M,45-49,artist,3.7
4497,M,50-55,other,4.0
4498,M,50-55,executive/managerial,3.1
4499,M,25-34,doctor/health care,4.2
4500,M,50-55,executive/managerial,3.0
4501,M,25-34,technician/engineer,4.0
4502,M,50-55,other,3.9
4503,M,56+,academic/educator,4.2
4504,F,25-34,other,4.1
4505,M,50-55,executive/managerial,4.2
4506,M,50-55,self-employed,4.0
4507,M,18-24,college/grad student,4.4
4508,M,25-34,writer,3.1
4509,M,25-34,executive/managerial,3.9
4510,M,45-49,executive/managerial,2.9
4511,M,35-44,executive/managerial,4.2
4512,M,25-34,academic/educator,3.9
4513,M,56+,other,3.8
4515,M,56+,retired,4.4
4516,M,18-24,college/grad student,4.4
4517,F,18-24,academic/educator,2.9
4518,M,25-34,other,4.5
4519,M,50-55,executive/managerial,3.7
4520,M,25-34,college/grad student,3.8
4521,M,35-44,programmer,3.8
4522,M,45-49,academic/educator,3.5
4523,M,18-24,artist,3.5
4524,M,25-34,artist,3.3
4525,M,25-34,sales/marketing,4.0
4526,M,25-34,writer,3.6
4527,M,18-24,other,3.8
4528,M,25-34,sales/marketing,4.3
4529,M,35-44,doctor/health care,3.9
4530,F,35-44,academic/educator,3.6
4531,M,18-24,college/grad student,3.4
4532,M,25-34,executive/managerial,4.0
4533,M,25-34,programmer,3.8
4534,M,18-24,college/grad student,3.7
4535,M,18-24,unemployed,4.0
4536,M,18-24,programmer,4.2
4537,F,45-49,academic/educator,3.8
4538,M,25-34,programmer,3.0
4539,M,35-44,unemployed,1.8
4540,F,25-34,sales/marketing,3.7
4541,M,Under 18,K-12 student,2.5
4542,M,35-44,other,3.8
4543,M,25-34,artist,3.5
4544,M,56+,academic/educator,3.9
4545,M,25-34,self-employed,4.0
4546,M,25-34,executive/managerial,4.2
4547,M,18-24,programmer,2.8
4548,M,18-24,artist,3.0
4549,F,Under 18,K-12 student,3.3
4550,M,18-24,self-employed,3.5
4551,M,18-24,programmer,3.9
4552,M,25-34,other,3.6
4553,F,35-44,self-employed,3.3
4554,F,25-34,homemaker,3.5
4555,F,18-24,homemaker,3.3
4556,M,45-49,self-employed,3.3
4557,M,25-34,sales/marketing,3.5
4558,M,35-44,sales/marketing,4.2
4559,M,25-34,executive/managerial,4.3
4560,M,25-34,other,3.6
4561,F,25-34,homemaker,3.8
4562,M,35-44,K-12 student,3.7
4563,F,25-34,doctor/health care,4.4
4564,M,35-44,programmer,4.0
4565,M,35-44,sales/marketing,4.0
4566,M,35-44,technician/engineer,3.6
4567,M,18-24,college/grad student,4.1
4568,F,25-34,college/grad student,3.6
4569,M,25-34,other,3.7
4570,M,45-49,technician/engineer,3.4
4571,M,35-44,executive/managerial,3.9
4572,F,Under 18,K-12 student,3.9
4573,M,50-55,self-employed,3.7
4574,M,25-34,college/grad student,3.7
4575,F,Under 18,K-12 student,2.1
4576,F,25-34,executive/managerial,4.0
4577,M,35-44,executive/managerial,3.3
4578,M,25-34,other,3.8
4579,F,18-24,college/grad student,4.3
4580,F,56+,retired,3.9
4581,M,25-34,academic/educator,3.7
4582,F,25-34,other,4.0
4583,M,50-55,academic/educator,3.7
4584,F,45-49,other,4.6
4585,M,35-44,executive/managerial,3.8
4586,M,25-34,college/grad student,4.1
4587,M,35-44,sales/marketing,2.5
4588,F,25-34,college/grad student,4.0
4589,M,25-34,technician/engineer,4.5
4590,F,18-24,writer,3.8
4591,M,25-34,scientist,3.2
4592,M,18-24,college/grad student,3.3
4593,F,45-49,academic/educator,3.3
4594,M,35-44,self-employed,4.1
4595,M,25-34,tradesman/craftsman,4.6
4596,F,18-24,college/grad student,3.3
4597,F,25-34,college/grad student,3.4
4598,F,35-44,clerical/admin,3.8
4599,F,35-44,other,4.1
4600,M,25-34,other,3.8
4601,M,35-44,sales/marketing,3.6
4602,M,35-44,executive/managerial,3.6
4603,F,35-44,artist,3.7
4604,M,25-34,scientist,3.3
4605,M,25-34,scientist,3.2
4606,F,Under 18,K-12 student,3.5
4607,M,25-34,other,3.9
4608,F,25-34,other,3.7
4609,F,25-34,college/grad student,3.0
4610,F,25-34,college/grad student,3.8
4611,F,18-24,college/grad student,3.2
4612,F,18-24,college/grad student,3.6
4613,M,25-34,programmer,4.0
4614,F,45-49,academic/educator,4.0
4615,M,25-34,technician/engineer,3.5
4616,M,25-34,writer,4.0
4617,F,25-34,doctor/health care,3.2
4618,M,25-34,sales/marketing,3.5
4619,F,25-34,academic/educator,3.7
4620,F,18-24,technician/engineer,3.8
4621,M,25-34,college/grad student,3.5
4622,M,25-34,programmer,3.5
4623,M,25-34,self-employed,4.0
4624,M,25-34,programmer,3.9
4625,M,25-34,executive/managerial,3.4
4626,M,25-34,sales/marketing,3.6
4627,M,56+,academic/educator,3.9
4628,F,56+,doctor/health care,3.6
4629,F,18-24,college/grad student,3.4
4630,F,25-34,college/grad student,3.8
4631,M,18-24,college/grad student,3.6
4632,M,25-34,other,3.9
4633,M,Under 18,other,4.0
4634,M,50-55,writer,4.6
4635,M,18-24,college/grad student,3.8
4636,M,18-24,artist,2.0
4637,F,35-44,homemaker,3.6
4638,M,25-34,college/grad student,3.6
4639,M,35-44,lawyer,4.2
4640,M,25-34,college/grad student,3.1
4641,M,25-34,executive/managerial,4.0
4642,M,25-34,other,3.7
4643,M,25-34,other,3.0
4644,M,50-55,academic/educator,3.4
4645,F,50-55,doctor/health care,4.2
4646,F,25-34,doctor/health care,3.1
4647,M,35-44,writer,3.5
4648,M,18-24,college/grad student,3.8
4649,M,56+,retired,4.8
4650,M,25-34,executive/managerial,3.0
4651,F,45-49,other,3.5
4652,F,25-34,executive/managerial,4.3
4653,M,35-44,programmer,3.7
4654,M,35-44,writer,4.1
4655,F,25-34,academic/educator,3.7
4656,M,25-34,technician/engineer,4.0
