userID,gender,age,occupation,varying
5081,F,18-24,college/grad student,3.8
5082,M,35-44,academic/educator,3.8
5083,M,25-34,college/grad student,3.7
5084,M,18-24,college/grad student,3.1
5085,M,56+,technician/engineer,4.4
5086,M,25-34,academic/educator,4.0
5087,F,25-34,doctor/health care,3.6
5088,M,25-34,technician/engineer,4.2
5089,F,35-44,self-employed,3.6
5090,F,35-44,unemployed,4.2
5091,M,25-34,technician/engineer,4.5
5092,M,56+,sales/marketing,3.8
5093,M,50-55,executive/managerial,3.8
5094,M,18-24,K-12 student,4.4
5095,F,35-44,academic/educator,4.5
5096,M,25-34,lawyer,3.3
5097,M,56+,self-employed,3.8
5098,M,50-55,executive/managerial,3.2
5099,M,18-24,other,3.9
5100,M,50-55,doctor/health care,4.5
5101,M,25-34,other,2.5
5102,M,25-34,programmer,4.6
5103,F,35-44,self-employed,4.3
5104,M,35-44,writer,4.2
5105,M,50-55,executive/managerial,3.1
5106,F,35-44,academic/educator,3.9
5107,F,45-49,other,3.2
5108,F,25-34,homemaker,3.4
5109,F,45-49,doctor/health care,3.8
5110,M,35-44,scientist,4.3
5111,M,35-44,artist,3.6
5112,M,35-44,retired,3.1
5113,M,25-34,other,3.1
5114,F,Under 18,K-12 student,4.3
5115,M,56+,programmer,4.4
5116,M,35-44,doctor/health care,4.3
5117,F,25-34,other,2.8
5118,M,Under 18,K-12 student,3.1
5119,F,25-34,other,3.2
5120,M,50-55,executive/managerial,3.8
5121,M,25-34,executive/managerial,3.5
5122,M,25-34,other,4.5
5123,M,50-55,programmer,3.3
5124,M,35-44,artist,3.5
5125,M,45-49,other,3.6
5126,M,25-34,lawyer,4.0
5127,M,45-49,customer service,3.2
5128,M,50-55,executive/managerial,3.6
5129,M,45-49,technician/engineer,3.8
5130,F,50-55,academic/educator,4.4
5131,F,25-34,academic/educator,3.4
5132,M,35-44,executive/managerial,3.4
5133,M,18-24,lawyer,3.1
5134,M,25-34,technician/engineer,3.7
5135,M,35-44,executive/managerial,3.9
5136,M,25-34,programmer,3.7
5137,M,18-24,tradesman/craftsman,3.9
5138,M,25-34,technician/engineer,3.3
5139,M,50-55,self-employed,3.5
5140,M,25-34,doctor/health care,3.6
5141,M,18-24,technician/engineer,4.0
5142,M,25-34,academic/educator,3.6
5143,M,18-24,college/grad student,3.2
5144,F,50-55,other,3.8
5145,M,35-44,executive/managerial,3.2
5146,M,56+,academic/educator,3.5
5147,M,18-24,other,3.6
5148,M,25-34,writer,3.9
5149,M,35-44,academic/educator,4.0
5150,M,25-34,clerical/admin,3.7
5151,M,18-24,unemployed,2.8
5152,F,25-34,college/grad student,3.0
5153,M,25-34,executive/managerial,3.2
5154,M,25-34,self-employed,4.2
5155,M,25-34,self-employed,2.9
5156,M,18-24,sales/marketing,4.2
5157,M,35-44,academic/educator,4.3
5158,F,18-24,college/grad student,3.9
5159,M,35-44,executive/managerial,3.0
5160,F,18-24,college/grad student,4.1
5161,M,25-34,college/grad student,3.1
5162,M,25-34,technician/engineer,3.5
5163,M,45-49,doctor/health care,3.8
5164,F,35-44,technician/engineer,4.3
5165,M,35-44,doctor/health care,4.5
5166,M,50-55,doctor/health care,4.3
5167,M,18-24,scientist,4.2
5168,M,35-44,executive/managerial,4.4
5169,F,50-55,college/grad student,3.7
