userID,gender,age,occupation,varying
5488,M,25-34,scientist,3.8
5489,M,18-24,executive/managerial,4.2
5490,M,45-49,technician/engineer,3.3
5491,M,18-24,executive/managerial,4.1
5492,M,18-24,college/grad student,3.5
5493,M,35-44,programmer,3.1
5494,F,35-44,technician/engineer,3.9
5495,F,18-24,college/grad student,3.8
5496,M,25-34,executive/managerial,3.7
5497,M,25-34,college/grad student,4.0
5498,F,50-55,academic/educator,3.8
5499,F,25-34,unemployed,4.6
5500,F,35-44,writer,3.9
5501,M,25-34,artist,3.2
5502,M,25-34,artist,3.7
5503,F,25-34,homemaker,3.9
5504,M,45-49,executive/managerial,4.2
5505,F,25-34,college/grad student,4.0
5506,F,18-24,sales/marketing,3.7
5507,M,45-49,executive/managerial,3.2
5508,M,25-34,writer,3.7
5509,M,25-34,other,3.4
5510,M,18-24,college/grad student,4.0
5511,M,45-49,academic/educator,4.1
5512,F,25-34,technician/engineer,4.1
5513,M,35-44,academic/educator,4.3
5514,F,Under 18,K-12 student,4.0
5515,M,18-24,college/grad student,3.5
5516,F,50-55,self-employed,4.1
5517,M,56+,other,4.1
5518,M,50-55,technician/engineer,3.8
5519,M,35-44,scientist,3.4
5520,M,45-49,academic/educator,4.0
5521,F,25-34,doctor/health care,4.3
5522,M,25-34,sales/marketing,4.5
5523,M,35-44,other,3.8
5524,F,Under 18,K-12 student,3.7
5525,F,Under 18,K-12 student,4.0
5526,F,35-44,artist,3.6
5527,M,25-34,academic/educator,3.4
5528,M,50-55,academic/educator,4.4
5529,M,18-24,doctor/health care,4.3
5530,F,18-24,college/grad student,3.0
5531,M,50-55,technician/engineer,3.9
5532,M,25-34,technician/engineer,3.4
5533,F,50-55,artist,4.0
5534,M,45-49,self-employed,3.7
5535,M,25-34,scientist,3.6
5536,M,25-34,self-employed,3.0
5537,F,56+,academic/educator,4.4
5538,M,45-49,programmer,3.9
5539,F,25-34,writer,3.8
5540,M,35-44,academic/educator,3.8
5541,M,56+,executive/managerial,4.1
5542,M,45-49,executive/managerial,4.7
5543,M,25-34,technician/engineer,3.6
5544,M,25-34,scientist,3.5
5545,F,35-44,self-employed,4.3
5546,M,18-24,sales/marketing,3.5
5547,F,18-24,college/grad student,3.6
5548,F,18-24,college/grad student,3.4
5549,F,50-55,homemaker,3.5
5550,M,35-44,scientist,3.6
5551,F,35-44,writer,3.1
5552,M,50-55,executive/managerial,3.1
5553,M,35-44,clerical/admin,3.6
5554,M,25-34,academic/educator,3.7
5555,M,Under 18,K-12 student,3.1
5556,M,45-49,doctor/health care,3.3
5557,M,35-44,sales/marketing,4.3
5558,M,Under 18,K-12 student,2.5
5559,M,50-55,academic/educator,4.2
5560,F,35-44,technician/engineer,4.2
5561,F,25-34,clerical/admin,2.9
5562,F,35-44,academic/educator,3.5
5563,F,25-34,executive/managerial,3.6
5564,M,45-49,writer,3.2
5565,M,18-24,technician/engineer,4.2
5566,M,35-44,executive/managerial,3.9
5567,M,50-55,clerical/admin,3.4
5568,M,18-24,college/grad student,4.0
5569,F,18-24,academic/educator,3.5
5570,M,25-34,academic/educator,3.9
5571,F,25-34,homemaker,3.5
5572,F,25-34,college/grad student,3.8
5573,F,35-44,academic/educator,3.8
5574,M,25-34,other,3.7
5575,M,35-44,executive/managerial,3.0
5576,M,25-34,college/grad student,3.9
5577,M,50-55,academic/educator,3.3
5578,F,18-24,academic/educator,4.0
5579,F,35-44,executive/managerial,4.2
5580,M,45-49,executive/managerial,4.0
5581,M,25-34,other,4.3
5582,M,45-49,academic/educator,4.6
5583,M,56+,scientist,3.9
5584,F,50-55,other,3.6
5585,M,25-34,college/grad student,3.8
5586,M,35-44,writer,4.1
5587,M,25-34,technician/engineer,3.9
5588,F,25-34,writer,3.8
5589,F,25-34,other,4.4
5590,F,45-49,programmer,4.1
5591,M,18-24,other,4.1
5592,M,25-34,academic/educator,4.0
5593,M,50-55,self-employed,4.4
5594,F,45-49,other,4.1
5595,M,25-34,writer,3.2
5596,M,35-44,programmer,4.1
5597,F,18-24,college/grad student,3.2
5598,M,18-24,college/grad student,3.9
5599,M,35-44,executive/managerial,3.4
5600,F,45-49,other,3.9
5601,M,35-44,academic/educator,3.4
5602,M,35-44,other,4.0
5603,M,50-55,executive/managerial,2.3
5604,M,35-44,scientist,3.5
5605,F,18-24,artist,3.0
5606,F,25-34,sales/marketing,3.8
5607,M,18-24,college/grad student,3.5
5608,M,18-24,clerical/admin,3.8
5609,F,50-55,academic/educator,4.7
5610,F,25-34,academic/educator,4.2
5611,F,35-44,executive/managerial,4.3
5612,F,25-34,academic/educator,3.0
5613,F,35-44,other,3.6
5614,M,25-34,other,3.9
5615,M,35-44,executive/managerial,3.5
5616,M,45-49,academic/educator,3.8
5617,M,25-34,sales/marketing,3.5
5618,F,18-24,college/grad student,3.9
5619,F,18-24,college/grad student,3.7
5620,M,35-44,sales/marketing,3.2
5621,M,25-34,executive/managerial,3.1
5622,M,35-44,scientist,4.1
5623,M,25-34,lawyer,3.9
5624,M,25-34,executive/managerial,3.4
5625,M,25-34,academic/educator,3.9
5626,M,56+,self-employed,4.5
5627,M,25-34,other,3.0
5628,M,18-24,college/grad student,3.4
5629,M,25-34,sales/marketing,4.4
5630,M,35-44,technician/engineer,3.5
5631,M,35-44,programmer,4.2
5632,F,18-24,college/grad student,3.6
5633,M,50-55,academic/educator,3.8
