userID,gender,age,occupation,varying
3030,M,35-44,academic/educator,3.8
3031,M,18-24,college/grad student,4.0
3032,M,25-34,other,4.3
3033,M,18-24,college/grad student,3.6
3034,F,18-24,academic/educator,3.9
3035,F,25-34,executive/managerial,3.8
3036,M,56+,retired,4.4
3037,F,25-34,artist,4.2
3038,F,35-44,artist,3.5
3039,F,50-55,clerical/admin,4.4
3040,M,25-34,farmer,3.6
3041,M,25-34,college/grad student,3.7
3042,M,56+,academic/educator,3.8
3043,M,18-24,artist,2.8
3044,M,35-44,self-employed,4.0
3045,M,45-49,academic/educator,4.3
3046,M,Under 18,college/grad student,3.3
3047,F,25-34,college/grad student,3.6
3048,M,18-24,artist,3.9
3049,F,50-55,other,4.3
3050,M,35-44,programmer,3.7
3051,M,18-24,technician/engineer,3.4
3052,M,35-44,programmer,3.2
3053,F,25-34,clerical/admin,2.8
3054,M,18-24,college/grad student,4.2
3055,F,25-34,clerical/admin,3.7
3056,M,25-34,tradesman/craftsman,3.7
3057,F,25-34,programmer,4.2
3058,M,18-24,programmer,4.0
3059,M,35-44,other,4.0
3060,F,35-44,academic/educator,3.6
3061,M,45-49,artist,4.1
3062,M,18-24,college/grad student,3.3
3063,M,18-24,college/grad student,3.7
3064,M,35-44,technician/engineer,4.2
3065,F,18-24,college/grad student,3.8
3066,M,18-24,college/grad student,3.9
3067,F,25-34,other,3.7
3068,F,35-44,homemaker,3.8
3069,M,18-24,college/grad student,2.9
3070,F,18-24,college/grad student,3.9
3071,M,25-34,academic/educator,3.1
3072,M,50-55,academic/educator,3.4
3073,M,25-34,other,4.5
3074,M,25-34,other,4.1
3075,F,25-34,lawyer,3.6
3076,M,35-44,technician/engineer,3.8
3077,M,18-24,college/grad student,3.8
3078,F,35-44,academic/educator,4.0
3079,F,25-34,academic/educator,3.7
3080,M,25-34,writer,3.9
3081,M,25-34,executive/managerial,4.0
3082,F,35-44,doctor/health care,3.4
3083,F,50-55,other,3.8
3084,M,25-34,self-employed,3.7
3085,M,25-34,college/grad student,3.8
3086,M,18-24,programmer,4.2
